Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
"BRAZIL,ARABICA SPOT,575,59kg,Santos Aquarela NY2 17/18 s.s. fine cup,natural,,""chocolate, almond"",Hamb,""2,68€"",""3,18$"",,,2021-04-14"
"BRAZIL,ARABICA SPOT,550,59kg,Mogiana Bella Giana NY2 17/18 s.s. fine cup pulped natural,pulped natural,,""hazelnut, cream"",Hamb,""2,83€"",""3,36$"",Factsheet,,2021-04-14"
"BRAZIL,ARABICA SPOT,118,59kg,Santos NY2 Screen 19 s.s. fine cup,natural,,""hazelnut, almond, milk chocolate"",Hamb,""2,85€"",""3,38$"",,,2021-04-14"
"BRAZIL,ARABICA SPOT,17,59kg,Donas do Café Project NY2 16up natural,natural,,""caramel, nutty, milk chocolate"",Hamb,""3,57€"",""4,23$"",,,2021-04-14"
"BRAZIL,ARABICA SPOT,26,59kg,Donas do Café Project NY2 16up pulped natural,pulped natural,,""fig, almond, cream"",Hamb,""3,76€"",""4,45$"",,,2021-04-14"
"BRAZIL,ARABICA SPOT,40,59kg,Fazenda Passeio NY2 16up pulped natural,pulped natural,,""molasses, honey, floral"",Hamb,""4,19€"",""4,96$"",Factsheet,,2021-04-14"
"BRAZIL,ARABICA SPOT,3,59kg,Fazenda Carmo Estate NY2 16up pulped natural,pulped natural,,""hazelnut, caramel, milk chocolate"",Hamb,""4,19€"",""4,96$"",Factsheet,,2021-04-14"
"BRAZIL,ARABICA SPOT,77,59kg,Fazenda Lagoa NY2 16up pulped natural,pulped natural,,""fig, hazelnut"",Hamb,""4,22€"",""5,00$"",Factsheet,,2021-04-14"
"BRAZIL,ARABICA SPOT,9,59kg,Fazenda Capoeira 'Terra Preta' NY2 16up pulped natural,pulped natural,,""molasses, hazelnut, malic"",Hamb,""4,22€"",""5,00$"",Factsheet,,2021-04-14"
"BRAZIL,ARABICA SPOT,1,59kg,Sitio Serra Negra NY2 16up natural Lot #187,natural,,""stonefruit, papaya, jasmine"",Hamb,""5,06€"",""6,00$"",Factsheet,,2021-04-14"
"COLOMBIA,ARABICA SPOT,154,70kg,Excelso EP Rainforest Alliance,washed,RFA,""tropical, nuts, nougat, juicy"",Hamb,""4,19€"",""4,97$"",,,2021-04-14"
"COLOMBIA,ARABICA SPOT,350,70kg,Supremo EP Screen 17 Finca La Secreta,washed,,""mirabelle, papaya, herbal"",Hamb,""4,21€"",""4,99$"",Factsheet,,2021-04-14"
"COLOMBIA,ARABICA SPOT,200,70kg,Supremo EP Screen 17 Huila 'Rafael',washed,,""chocolate, tropical, stone fruit"",Hamb,""4,23€"",""5,01$"",Factsheet,,2021-04-14"
"COLOMBIA,ARABICA SPOT,220,70kg,Colombia Excelso EP Antioquia,washed,,,Hamb,""4,32€"",""5,12$"",,,2021-04-14"
"COLOMBIA,ARABICA SPOT,200,70kg,Excelso EP Palermo,washed,,""peach, cream, tropical fruits"",Hamb,""4,36€"",""5,17$"",Factsheet,,2021-04-14"
"COLOMBIA,ARABICA SPOT,173,70kg,Hacienda La Claudina,washed,,,Hamb,""4,69€"",""5,56$"",,,2021-04-14"
"COLOMBIA,ARABICA SPOT,4,5kg,Las Margaritas Geisha Hybrid double fermentation,hybrid,,""blackberry, Jasmine, lemongrass"",Hamb,""40,22€"",""47,66$"",Factsheet,,2021-04-14"
"COLOMBIA,ARABICA SPOT,1,10kg,Las Margaritas Pacamara X.O.,natural,,""plum, dark chocolate, whisky"",Hamb,""45,80€"",""54,28$"",Factsheet,,2021-04-14"
