Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
BLEND,DECAFFEINATED,91,60,Espresso Blend DCM Decaffeinated,DCM decaf,,"dark chocolate, hazelnut",Hamb,4.46,5.35,,,2021-05-03
BRAZIL,ARABICA SPOT,430,59,Santos Aquarela NY2 17/18 s.s. fine cup,natural,,"chocolate, almond",Hamb,2.9,3.48,,,2021-05-03
BRAZIL,ARABICA SPOT,39,59,Cerrado Doce Diamantina NY2 16up natural,natural,,"hazelnut, almond, milk chocolate",Hamb,2.95,3.54,,,2021-05-03
BRAZIL,ARABICA SPOT,850,59,Mogiana Bella Giana NY2 17/18 s.s. fine cup pulped natural,pulped natural,,"hazelnut, cream",Hamb,3.04,3.65,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,92,59,Santos NY2 Screen 19 s.s. fine cup,natural,,"hazelnut, almond, milk chocolate",Hamb,3.34,4.01,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,16,59,Donas do Café Project NY2 16up natural,natural,,"caramel, nutty, milk chocolate",Hamb,3.53,4.23,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,25,59,Donas do Café Project NY2 16up pulped natural,pulped natural,,"fig, almond, cream",Hamb,3.71,4.45,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,238,59,Fazenda Mariano NY2 16up Yellow Bourbon pulped natural,pulped natural,,"almond, honey, chocolate",Hamb,3.8,4.56,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,36,59,Fazenda Passeio NY2 16up pulped natural,pulped natural,,"molasses, honey, floral",Hamb,4.13,4.96,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,8,59,Fazenda Capoeira 'Terra Preta' NY2 16up pulped natural,pulped natural,,"molasses, hazelnut, malic",Hamb,4.17,5.0,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,34,59,Fazenda Lagoa NY2 16up pulped natural,pulped natural,,"fig, hazelnut",Hamb,4.26,5.11,Factsheet,,2021-05-03
BRAZIL,ARABICA SPOT,4,59,Fazenda Morro Cavado NY2 16up natural Topazio,pulped natural,,"hazelnut, caramel, milk chocolate",Hamb,4.26,5.11,Factsheet,,2021-05-03
